Symbol,Date,Last_Close,Entry,SL,Risk_Pct,Target_15pct,Target_20pct,Target_RR6,RR_at_15pct,RR_at_20pct,Edge,Near_52W_Dist_Pct,In_Fibo,Volume,Contraction_High,Contraction_Low,Reason,Weekly_Score
HOMEFIRST,2026-08-07,1193.8,1198.59,1170.55,2.34,1378.38,1438.31,1366.82,6.41,8.55,FIBO 0.5-0.6,13.18,True,174676,1196.2,1172.9,WEEKLY OK + DAILY CONTRACTION EDGE=FIBO,4
FIVESTAR,2026-08-07,543.25,556.86,540.47,2.94,640.39,668.23,655.23,5.09,6.79,UNKNOWN,18.43,False,269177,555.75,541.55,WEEKLY OK + DAILY CONTRACTION EDGE=UNKNOWN,3
CHOICEIN,2026-08-07,841.15,845.64,820.36,2.99,972.48,1014.77,997.33,5.02,6.69,52W High,2.25,False,694855,843.95,822.0,WEEKLY OK + DAILY CONTRACTION EDGE=52W,3
TITAGARH,2026-08-07,847.45,869.44,843.01,3.04,999.85,1043.32,1027.98,4.94,6.58,FIBO 0.5-0.6,12.72,True,250764,867.7,844.7,WEEKLY OK + DAILY CONTRACTION EDGE=FIBO,4
INDIACEM,2026-08-07,398.15,399.95,387.47,3.12,459.94,479.94,474.8,4.81,6.41,FIBO 0.5-0.6,18.04,True,181089,399.15,388.25,WEEKLY OK + DAILY CONTRACTION EDGE=FIBO,2
NIVABUPA,2026-08-07,86.19,88.18,85.32,3.24,101.4,105.81,105.32,4.63,6.17,FIBO 0.5-0.6,5.49,True,881200,88.0,85.49,WEEKLY OK + DAILY CONTRACTION EDGE=FIBO,4
MGL,2026-08-07,1139.6,1146.29,1105.88,3.52,1318.23,1375.55,1388.71,4.26,5.67,FIBO 0.5-0.6,17.3,True,531620,1144.0,1108.1,WEEKLY OK + DAILY CONTRACTION EDGE=FIBO,3
ELGIEQUIP,2026-08-07,588.45,600.9,578.84,3.67,691.03,721.08,733.26,4.09,5.45,FIBO 0.5-0.6,7.16,True,123552,599.7,580.0,WEEKLY OK + DAILY CONTRACTION EDGE=FIBO,4
TORNTPHARM,2026-08-07,4924.0,5078.64,4891.2,3.69,5840.43,6094.36,6203.27,4.06,5.42,FIBO 0.5-0.6,6.21,True,394462,5068.5,4901.0,WEEKLY OK + DAILY CONTRACTION EDGE=FIBO,2
ATUL,2026-08-07,6774.0,7021.01,6738.99,4.02,8074.17,8425.22,8713.13,3.73,4.98,52W High,5.65,False,130066,7007.0,6752.5,WEEKLY OK + DAILY CONTRACTION EDGE=52W,3
JSWCEMENT,2026-08-07,134.29,136.67,131.04,4.12,157.17,164.01,170.49,3.64,4.85,FIBO 0.5-0.6,17.18,True,1543467,136.4,131.3,WEEKLY OK + DAILY CONTRACTION EDGE=FIBO,4
HEG,2026-08-07,674.0,699.4,668.71,4.39,804.31,839.28,883.51,3.42,4.56,52W High,3.44,False,597260,698.0,670.05,WEEKLY OK + DAILY CONTRACTION EDGE=52W,2
